key	global	local_title	local_description
advancements.adventure.adventuring_time.title	Adventuring Time	冒険の時間	すべての種類のバイオームを発見する
advancements.adventure.arbalistic.title	Arbalistic	クロスボウの達人	5種類のMobをクロスボウを使って一度に倒す
advancements.adventure.avoid_vibration.title	Sneak 100	スニーク100	スカルクセンサーまたはウォーデンの近くでスニークして感知されないようにする
advancements.adventure.bullseye.title	Bullseye	的中	30m以上離れた場所から的の中心を射抜く
advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	丁寧な修復作業	4つの壺の欠片から飾り壺を作る
advancements.adventure.fall_from_world_height.title	Caves & Cliffs	洞窟と崖	ワールドの頂上（限界高度）からワールドの底へ落下し、生き残る
advancements.adventure.hero_of_the_village.title	Hero of the Village	村の英雄	襲撃から村を守る
advancements.adventure.honey_block_slide.title	Sticky Situation	べとべとな状況	ハチミツブロックに飛び込み、落下を阻止する
advancements.adventure.kill_a_mob.title	Monster Hunter	モンスターハンター	敵対的なモンスターを倒す
advancements.adventure.kill_all_mobs.title	Monsters Hunted	モンスター狩りの達人	すべての種類の敵対的なモンスターを倒す
advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	「それ」は侵食する	スカルクカタリストの近くでMobを倒す
advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	危機一髪	火事を起こすことなく不意な落雷から村人を守る
advancements.adventure.ol_betsy.title	Ol' Betsy	おてんば	クロスボウを撃つ
advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	サウンド・オブ・ミュージック	ジュークボックスの音楽で草地を盛り上げる
advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	本は力なり	模様入りの本棚からレッドストーンコンパレーターを介して信号を読み取る
advancements.adventure.salvage_sherd.title	Respecting the Remnants	文明の面影に敬意を	怪しげなブロックをブラシで払い、壺の欠片を手に入れる
advancements.adventure.shoot_arrow.title	Take Aim	狙いを定めて	矢で何かを撃つ
advancements.adventure.sleep_in_bed.title	Sweet Dreams	良い夢見てね	ベッドで眠り、リスポーン地点を設定する
advancements.adventure.sniper_duel.title	Sniper Duel	スナイパー対決	50m以上離れた場所からスケルトンを倒す
advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	あれは飛行機？	望遠鏡を通してエンダードラゴンを観察する
advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	あれは風船？	望遠鏡を通してガストを観察する
advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	あれは鳥？	望遠鏡を通してオウムを観察する
advancements.adventure.summon_iron_golem.title	Hired Help	お手伝いさん	村を守ってもらうためにアイアンゴーレムを召喚する
advancements.adventure.throw_trident.title	A Throwaway Joke	もったいぶった一言	トライデントを投げつける。\n注意：唯一の武器を捨てることは良い考えではありません。
advancements.adventure.totem_of_undying.title	Postmortal	死を超えて	不死のトーテムを使用して死を免れる
advancements.adventure.trade_at_world_height.title	Star Trader	星の商人	限界高度で村人と取引をする
advancements.adventure.trade.title	What a Deal!	良い取引だ！	村人と取引をする
advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	オシャレな鍛冶職人	尖塔風、ブタの鼻風、あばら模様、監獄風、静寂、ヴェックス風、潮流風、先駆者風の防具装飾を、それぞれ最低一回以上施す
advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	おニューの衣装	鍛冶台で防具に装飾を施す
advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	一石二鳥	矢を貫通させて2体のファントムを倒す
advancements.adventure.very_very_frightening.title	Very Very Frightening	とてもとても恐ろしい	雷を村人に落とす
advancements.adventure.voluntary_exile.title	Voluntary Exile	自主的な亡命	襲撃隊の大将を倒す。\n当分の間村から離れて過ごされてみてはいかがでしょうか…
advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	ウサギのように軽く	粉雪の上を歩く…沈むことなく
advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	どっちが略奪者？	ピリジャーを奴らの手段で懲らしめる
advancements.end.dragon_breath.title	You Need a Mint	口臭に気をつけよう	ガラス瓶にドラゴンブレスを採取する
advancements.end.dragon_egg.title	The Next Generation	ザ・ネクストジェネレーション	ドラゴンの卵を持つ
advancements.end.elytra.title	Sky's the Limit	空はどこまでも高く	エリトラを見つける
advancements.end.enter_end_gateway.title	Remote Getaway	遠方への逃走	島を脱出する
advancements.end.find_end_city.title	The City at the End of the Game	ゲームの果ての都市	入りたまえ、何が起こるだろうか？
advancements.end.kill_dragon.title	Free the End	エンドの解放	幸運を祈る
advancements.end.levitate.title	Great View From Up Here	ここからの素晴らしい眺め	シュルカーの攻撃で50ブロック以上浮遊する
advancements.end.respawn_dragon.title	The End... Again...	おしまい…再び…	エンダードラゴンを復活させる
advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	バースデー・ソング	アレイに音符ブロックの場所へケーキを落としてもらう
advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	君はともだち	アレイにアイテムを運んできてもらう
advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	いちばんカワイイ捕食者	バケツでウーパールーパーを捕まえる
advancements.husbandry.balanced_diet.title	A Balanced Diet	バランスの取れた食事	身体にどんな影響があろうと、食べられるものはすべて食べる
advancements.husbandry.breed_all_animals.title	Two by Two	2匹ずつ	すべての種類の動物を繁殖させる
advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	コウノトリの贈り物	動物を繁殖させる
advancements.husbandry.complete_catalogue.title	A Complete Catalogue	猫大全集	すべての種類のネコを手懐ける
advancements.husbandry.feed_snifflet.title	Little Sniffs	可愛らしい鼻の音	子どものスニッファーに餌を与える
advancements.husbandry.fishy_business.title	Fishy Business	生臭い仕事	魚を捕る
advancements.husbandry.froglights.title	With Our Powers Combined!	僕たちの力を合わせて！	全種類のフロッグライトをインベントリに入れる
advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	友情の癒しパワー！	ウーパールーパーと共に戦い、勝利する
advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	みんなで町に跳び込もう	それぞれの種類のカエルをリードで繋ぐ
advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	この輝きに驚くことなかれ！	いずれかの種類の看板の文字を発光させる
advancements.husbandry.netherite_hoe.title	Serious Dedication	真面目な献身	ネザライトインゴットでクワを強化し、己の人生の選択について考え直す
advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	興味深い匂い	スニッファーの卵を手に入れる
